,mean,mean_se,mean_ci_lower,mean_ci_upper
2026-04-09,259.14726215578247,3.0694838585590594,253.13118434187967,265.16333996968524
2026-04-10,259.1707695095314,4.446252819866173,250.45627411643403,267.88526490262876
2026-04-13,259.17300431185436,5.4960767372470904,248.40089185058164,269.94511677312704
2026-04-14,259.1732167705375,6.375982775483668,246.67652016454178,271.66991337653326
2026-04-15,259.1732369686068,7.148445363671732,245.16254151035784,273.1839324268557
2026-04-16,259.1732388888013,7.845219158232397,243.79689188784215,274.5495858897604
2026-04-17,259.17323907135074,8.484966915458992,242.5430095070372,275.8034686356643
2026-04-20,259.1732390887054,9.079750226463116,241.37725565621827,276.9692225211925
2026-04-21,259.17323909035525,9.637897325677056,240.28330744533332,278.0631707353772
2026-04-22,259.1732390905121,10.165444680484011,239.24933362992914,279.097144551095
